scientificName,decimalLongitude,decimalLatitude
Gambierdiscus australes,2.836944444,39.36408056
Gambierdiscus australes,4.239613889,39.81583333
Gambierdiscus australes,4.132730556,39.87060833
Gambierdiscus australes,3.317486111,39.52263333
Gambierdiscus australes,2.737305556,39.487475
Gambierdiscus australes,3.270986111,39.41845278
Gambierdiscus australes,4.030883333,39.91753611
Gambierdiscus australes,4.267705556,39.94953333
Gambierdiscus australes,3.934644444,39.94033333
Gambierdiscus,136.4473,-35.8322
Gambierdiscus australes,2.418975,39.53847222
Gambierdiscus toxicus,-140.101862,-8.917336
Gambierdiscus carpenteri,-140.101862,-8.917336
Gambierdiscus toxicus,-140.040214,-8.89618
Gambierdiscus,153.26323,-36.25113
Gambierdiscus carpenteri,-140.040214,-8.89618
Gambierdiscus polynesiensis,-178.42,-30.23
Gambierdiscus caribaeus,-140.101862,-8.917336
Gambierdiscus pacificus,-140.040214,-8.89618
Gambierdiscus,-60.80899,14.53831
Gambierdiscus polynesiensis,-140.040214,-8.89618
Gambierdiscus australes,-178.42,-30.23
Gambierdiscus caribaeus,-140.040214,-8.89618
Gambierdiscus polynesiensis,-140.101862,-8.917336
Gambierdiscus australes,-177.87,-29.24
Gambierdiscus excentricus,-14.0172,28.6938
Gambierdiscus balechii,103.975,2.5179
Gambierdiscus australes,-15.6495,28.1651
Gambierdiscus australes,-16.032,28.2012
Gambierdiscus australes,-15.6495,28.1651
Gambierdiscus australes,-14.0172,28.6938
Gambierdiscus australes,-177.8786,-29.14485
Gambierdiscus australes,-13.452,29.0807
Gambierdiscus caribaeus,-140.059574,-8.821546
Gambierdiscus australes,-13.5014,29.2308
Gambierdiscus,135.59702,-37.26548
Gambierdiscus honu,177.92,-29.27
Gambierdiscus pacificus,-140.059574,-8.821546
Gambierdiscus australes,-16.3265,28.5681
Gambierdiscus toxicus,-140.059574,-8.821546
Gambierdiscus caribaeus,-17.9035,27.7846
Gambierdiscus australes,-177.8786,-29.14485
Gambierdiscus excentricus,-13.9868,28.2283
Gambierdiscus excentricus,-13.8362,28.5349
Gambierdiscus excentricus,-13.8614,28.386
Gambierdiscus australes,-13.8362,28.5349
Gambierdiscus polynesiensis,-140.059574,-8.821546
Gambierdiscus australes,-16.471,28.1085
Gambierdiscus pacificus,-140.059574,-8.821546
Gambierdiscus excentricus,-14.3777,28.0502
Gambierdiscus excentricus,-16.3265,28.5681
Gambierdiscus australes,-17.9238,27.8492
Gambierdiscus caribaeus,-18.0266,27.6703
Gambierdiscus excentricus,-16.3265,28.5681
Gambierdiscus silvae,-16.7355,28.0613
Gambierdiscus,130.67115,-33.5546
Gambierdiscus excentricus,-13.7109,28.9156
Gambierdiscus excentricus,-16.471,28.1085
Gambierdiscus excentricus,-13.6397,29.1176
Gambierdiscus excentricus,-16.032,28.2012
Gambierdiscus,149.92,-36.8926
Gambierdiscus honu,159.78,-21.23
Gambierdiscus,149.887,-36.8985
Gambierdiscus,149.887,-36.8985
Gambierdiscus,149.887,-36.8985
Gambierdiscus carolinianus,-16.032,28.2012
Gambierdiscus,149.92,-36.8926
Gambierdiscus cheloniae,159.78,-21.23
Gambierdiscus australes,-16.7355,28.0613
Gambierdiscus,149.887,-36.8985
Gambierdiscus cheloniae,159.78,-21.23
Gambierdiscus,149.887,-36.8985
Gambierdiscus,150.117,-36.2126
Gambierdiscus,149.92,-36.8926
Gambierdiscus,149.92,-36.8926
Gambierdiscus excentricus,-16.7355,28.0613
Gambierdiscus,149.887,-36.8985
Gambierdiscus,149.887,-36.8985
Gambierdiscus caribaeus,101.88156,12.59056
Gambierdiscus caribaeus,102.40639,11.902
Gambierdiscus,149.887,-36.8985
Gambierdiscus australes,-16.3265,28.5681
Gambierdiscus,149.92,-36.8926
Gambierdiscus,149.92,-36.8926
Gambierdiscus caribaeus,102.40639,11.902
Gambierdiscus excentricus,-16.7135,28.0484
Gambierdiscus,149.887,-36.8985
Gambierdiscus,149.92,-36.8926
Gambierdiscus,149.92,-36.8926
Gambierdiscus,149.887,-36.8985
Gambierdiscus,150.077,-36.2265
Gambierdiscus,149.92,-36.8926
Gambierdiscus,149.92,-36.8926
Gambierdiscus,149.887,-36.8985
Gambierdiscus,149.92,-36.8926
Gambierdiscus,149.92,-36.8926
Gambierdiscus,149.887,-36.8985
Gambierdiscus,150.117,-36.2126
Gambierdiscus,149.92,-36.8926
Gambierdiscus,149.887,-36.8985
Gambierdiscus,149.92,-36.8926
Gambierdiscus pacificus,-177.92,-29.26
Gambierdiscus,149.887,-36.8985
Gambierdiscus australes,-15.8699,30.140467
Gambierdiscus,149.887,-36.8985
Gambierdiscus,149.887,-36.8985
Gambierdiscus,149.887,-36.8985
Gambierdiscus lapillus,151.914,-23.442
Gambierdiscus,149.887,-36.8985
Gambierdiscus,149.887,-36.8985
Gambierdiscus,148.97803,-19.06505
Gambierdiscus,149.889,-36.9674
Gambierdiscus excentricus,-41.90194,-22.755
Gambierdiscus,149.887,-36.8985
Gambierdiscus,149.92,-36.8926
Gambierdiscus,149.92,-36.8926
Gambierdiscus,149.887,-36.8985
Gambierdiscus,150.077,-36.2265
Gambierdiscus,149.889,-36.9674
Gambierdiscus,149.92,-36.8926
Gambierdiscus excentricus,41.9019,-22.755
Gambierdiscus,28,43.1666667
Gambierdiscus,28,43.1666667
Gambierdiscus,151.265,-33.5326
Gambierdiscus carpenteri,149.91511,-36.89161
Gambierdiscus,132.36398,-10.7941
Gambierdiscus,28.1666667,43.1666667
Gambierdiscus carpenteri,150.01073,-36.59756
Gambierdiscus,150.117,-36.2126
Gambierdiscus,28.1666667,43.1666667
Gambierdiscus,149.92,-36.8926
Gambierdiscus,28.3333333,43.1666667
Gambierdiscus,28,43.1666667
Gambierdiscus,28.1666667,43.1666667
Gambierdiscus belizeanus,48.28,28.62472
Gambierdiscus carolinianus,-70.048301,12.570609
Gambierdiscus balechii,173.25,2.01667
Gambierdiscus australes,127.74917,26.01639
Gambierdiscus,28.3333333,43.1666667
Gambierdiscus,28.3333333,43.1666667
Gambierdiscus,149.92,-36.8926
Gambierdiscus carpenteri,156.10942,-36.24496
Gambierdiscus,149.92,-36.9
Gambierdiscus caribaeus,-93.8562,27.8695
Gambierdiscus scabrosus,124.2575,24.44444
Gambierdiscus australes,124.30556,24.535
Gambierdiscus carpenteri,173.25,2.01667
Gambierdiscus caribaeus,-93.603831,27.910836
Gambierdiscus scabrosus,124.30556,24.535
Gambierdiscus australes,124.2575,24.44444
Gambierdiscus pacificus,-173.25,2.01667
Gambierdiscus,149.92,-36.8926
Gambierdiscus caribaeus,-157.9765,21.45909
Gambierdiscus carpenteri,-93.6032,27.906701
